"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5551","Проверка удаления товара из корзины. Добавляем товар: karcher","","2026-07-25","failed","2026-07-25","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","deleteItemFromBasketTest"
"","5477","Проверка элементов страницы ShopHome","","2026-07-25","failed","2026-07-25","","Тестирование функционала страниц навигационной панели","test.NavigationPanelTest","openShopProductsPage"
"","5531","Проверка наличия товара в корзине после его добавления. Добавляем товар: cleaner","","2026-07-25","failed","2026-07-25","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","putItemToBasketTest"
"","5525","Проверка наличия товара в корзине после его добавления. Добавляем товар: tools","","2026-07-25","failed","2026-07-25","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","putItemToBasketTest"
"","5559","Проверка удаления товара из корзины. Добавляем товар: Ledermax","","2026-07-25","failed","2026-07-25","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","deleteItemFromBasketTest"
"","2239","Заполнение полей регистрации","","2026-07-25","passed","2026-07-25","","Проверка заполнения регистрации","test.RegistrationTest","registrationTest"
"","5460","Проверка изменения денежной единицы при выборе страны Проверка изменения валюты при выборе страны: BRUNEI","","2026-07-25","failed","2026-07-25","","Проверка изменения денежной единицы ","test.CurrencyTest","changeCurrencyTest"
"","5440","Проверка поиска товара При поиске товара paint в списке есть товар Paint Coating Package","","2026-07-25","failed","2026-07-25","","Тестирование функционала поиска","test.SearchTest","searchResultShouldContainTextTest"
"","5522","Проверка увеличения количества товара в корзине. Добавляем товар: karcher","","2026-07-25","failed","2026-07-25","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","checkQuantityInBasketTest"
"","5494","Проверка элементов страницы Delivery","","2026-07-25","failed","2026-07-25","","Тестирование страницы Delivery","test.DeliveryPageTest","returnPageTest"
"","5458","Проверка поиска товара При поиске товара tool grid в списке есть товар Tool Grid Screws","","2026-07-25","failed","2026-07-25","","Тестирование функционала поиска","test.SearchTest","searchResultShouldContainTextTest"
"","7180","Проверка заполнения основных полей формы Affiliate","","2026-07-25","failed","2026-07-25","","Тестирование страницы Affiliate","test.AffiliatetPageTest","requestPageTest"
"","1426","Проверка заголовка главной страницы","","2026-07-25","failed","2026-07-25","","Проверка заголовка главной страницы","test.MainPageTitleTest","checkPageTitleTest"
"","5576","Проверка элементов страницы New Products","","2026-07-25","failed","2026-07-25","","Тестирование функционала страниц навигационной панели","test.NavigationPanelTest","openNewProductsTest"
"","5494","Проверка увеличения количества товара в корзине. Добавляем товар: cleaner","","2026-07-25","failed","2026-07-25","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","checkQuantityInBasketTest"
"","5438","Проверка изменения денежной единицы при выборе страны Проверка изменения валюты при выборе страны: DOMINICAN","","2026-07-25","failed","2026-07-25","","Проверка изменения денежной единицы ","test.CurrencyTest","changeCurrencyTest"
"","5455","Проверка поиска товара При поиске товара koch в списке есть товар Koch-Chemie Gsf","","2026-07-25","failed","2026-07-25","","Тестирование функционала поиска","test.SearchTest","searchResultShouldContainTextTest"
