"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1341","Проверка заголовка главной страницы","","2026-07-22","failed","2026-07-22","","Проверка заголовка главной страницы","test.MainPageTitleTest","checkPageTitleTest"
"","5392","Проверка наличия товара в корзине после его добавления. Добавляем товар: cleaner","","2026-07-22","failed","2026-07-22","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","putItemToBasketTest"
"","5384","Проверка удаления товара из корзины. Добавляем товар: Ledermax","","2026-07-22","failed","2026-07-22","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","deleteItemFromBasketTest"
"","5364","Проверка изменения денежной единицы при выборе страны Проверка изменения валюты при выборе страны: BRUNEI","","2026-07-22","failed","2026-07-22","","Проверка изменения денежной единицы ","test.CurrencyTest","changeCurrencyTest"
"","5357","Проверка поиска товара При поиске товара tool grid в списке есть товар Tool Grid Screws","","2026-07-22","failed","2026-07-22","","Тестирование функционала поиска","test.SearchTest","searchResultShouldContainTextTest"
"","5542","Проверка элементов страницы ShopHome","","2026-07-22","failed","2026-07-22","","Тестирование функционала страниц навигационной панели","test.NavigationPanelTest","openShopProductsPage"
"","5460","Проверка удаления товара из корзины. Добавляем товар: karcher","","2026-07-22","failed","2026-07-22","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","deleteItemFromBasketTest"
"","5555","Проверка элементов страницы New Products","","2026-07-22","failed","2026-07-22","","Тестирование функционала страниц навигационной панели","test.NavigationPanelTest","openNewProductsTest"
"","2112","Заполнение полей регистрации","","2026-07-22","passed","2026-07-22","","Проверка заполнения регистрации","test.RegistrationTest","registrationTest"
"","5408","Проверка наличия товара в корзине после его добавления. Добавляем товар: tools","","2026-07-22","failed","2026-07-22","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","putItemToBasketTest"
"","5335","Проверка элементов страницы Delivery","","2026-07-22","failed","2026-07-22","","Тестирование страницы Delivery","test.DeliveryPageTest","returnPageTest"
"","5354","Проверка поиска товара При поиске товара paint в списке есть товар Paint Coating Package","","2026-07-22","failed","2026-07-22","","Тестирование функционала поиска","test.SearchTest","searchResultShouldContainTextTest"
"","5378","Проверка изменения денежной единицы при выборе страны Проверка изменения валюты при выборе страны: DOMINICAN","","2026-07-22","failed","2026-07-22","","Проверка изменения денежной единицы ","test.CurrencyTest","changeCurrencyTest"
"","5369","Проверка увеличения количества товара в корзине. Добавляем товар: karcher","","2026-07-22","failed","2026-07-22","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","checkQuantityInBasketTest"
"","7166","Проверка заполнения основных полей формы Affiliate","","2026-07-22","failed","2026-07-22","","Тестирование страницы Affiliate","test.AffiliatetPageTest","requestPageTest"
"","5415","Проверка увеличения количества товара в корзине. Добавляем товар: cleaner","","2026-07-22","failed","2026-07-22","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","checkQuantityInBasketTest"
"","5333","Проверка поиска товара При поиске товара koch в списке есть товар Koch-Chemie Gsf","","2026-07-22","failed","2026-07-22","","Тестирование функционала поиска","test.SearchTest","searchResultShouldContainTextTest"
