"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","UI","0","Проверка изменения денежной единицы","0","0","","0"
"1","UI","0","Проверка страниц навигационной панели","0","0","Проверка открытия страницы ShopHome","0"
"2","UI","0","Тестирование функционала корзины","0","0","Добавление товара в корзину","0"
"2","UI","0","Тестирование функционала корзины","0","0","Увеличение количества товаров в корзине","0"
"2","UI","0","Тестирование функционала корзины","0","0","Удаление товара из корзины","0"
"3","UI","0","Тестирование функционала поиска","0","0","Проверка поиска товара","0"
"1","UI","0","Проверка заголовка главной страницы","0","0","Проверка титла ","0"
"1","UI","0","Проверка страниц навигационной панели","0","0","Проверка открытия страницы New Products","0"
"1","UI","0","Тестирование страницы Delivery","0","0","Проверка открытия страницы Delivery","0"
"1","UI","0","Тестирование страницы Affiliate","0","0","Проверка заполнения полей формы Affiliate","0"
"0","UI","0","Заполнение регистрации","1","0","Регистрация","0"
