"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5446","Проверка увеличения количества товара в корзине. Добавляем товар: cleaner","","2026-07-25","failed","2026-07-25","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","checkQuantityInBasketTest"
"","5478","Проверка изменения денежной единицы при выборе страны Проверка изменения валюты при выборе страны: BRUNEI","","2026-07-25","failed","2026-07-25","","Проверка изменения денежной единицы ","test.CurrencyTest","changeCurrencyTest"
"","5550","Проверка элементов страницы ShopHome","","2026-07-25","failed","2026-07-25","","Тестирование функционала страниц навигационной панели","test.NavigationPanelTest","openShopProductsPage"
"","5482","Проверка удаления товара из корзины. Добавляем товар: Ledermax","","2026-07-25","failed","2026-07-25","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","deleteItemFromBasketTest"
"","5464","Проверка поиска товара При поиске товара tool grid в списке есть товар Tool Grid Screws","","2026-07-25","failed","2026-07-25","","Тестирование функционала поиска","test.SearchTest","searchResultShouldContainTextTest"
"","5403","Проверка поиска товара При поиске товара paint в списке есть товар Paint Coating Package","","2026-07-25","failed","2026-07-25","","Тестирование функционала поиска","test.SearchTest","searchResultShouldContainTextTest"
"","5468","Проверка наличия товара в корзине после его добавления. Добавляем товар: cleaner","","2026-07-25","failed","2026-07-25","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","putItemToBasketTest"
"","5419","Проверка элементов страницы Delivery","","2026-07-25","failed","2026-07-25","","Тестирование страницы Delivery","test.DeliveryPageTest","returnPageTest"
"","2253","Заполнение полей регистрации","","2026-07-25","passed","2026-07-25","","Проверка заполнения регистрации","test.RegistrationTest","registrationTest"
"","5562","Проверка удаления товара из корзины. Добавляем товар: karcher","","2026-07-25","failed","2026-07-25","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","deleteItemFromBasketTest"
"","5447","Проверка увеличения количества товара в корзине. Добавляем товар: karcher","","2026-07-25","failed","2026-07-25","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","checkQuantityInBasketTest"
"","5423","Проверка поиска товара При поиске товара koch в списке есть товар Koch-Chemie Gsf","","2026-07-25","failed","2026-07-25","","Тестирование функционала поиска","test.SearchTest","searchResultShouldContainTextTest"
"","1381","Проверка заголовка главной страницы","","2026-07-25","failed","2026-07-25","","Проверка заголовка главной страницы","test.MainPageTitleTest","checkPageTitleTest"
"","5424","Проверка изменения денежной единицы при выборе страны Проверка изменения валюты при выборе страны: DOMINICAN","","2026-07-25","failed","2026-07-25","","Проверка изменения денежной единицы ","test.CurrencyTest","changeCurrencyTest"
"","5505","Проверка наличия товара в корзине после его добавления. Добавляем товар: tools","","2026-07-25","failed","2026-07-25","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","putItemToBasketTest"
"","7098","Проверка заполнения основных полей формы Affiliate","","2026-07-25","failed","2026-07-25","","Тестирование страницы Affiliate","test.AffiliatetPageTest","requestPageTest"
"","5506","Проверка элементов страницы New Products","","2026-07-25","failed","2026-07-25","","Тестирование функционала страниц навигационной панели","test.NavigationPanelTest","openNewProductsTest"
